,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wde_expedu,wdi_nerds,Nulos
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,,,False
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.4000000953674325,2.77046012878418,,,False
192,0.49900001,YEM,NorthAfrica,2170.9299,,7.5,1.8963284492492682,,,False
91,0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,,False
154,0.43099999,SLE,SubSaharian,979.9500099999999,6.23199987411499,8.399999618530272,2.986086368560791,,,False
49,0.72399998,DMA,Caribbean,12613.72,,,,,,True
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,,,False
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,8.100000381469728,,,,True
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,,,False
70,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,7.199999809265138,2.425785064697266,,,False
180,0.48800001,UGA,SubSaharian,1343.45,37.599998474121094,7.300000190734862,3.571631669998169,,,False
141,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,,,False
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,,False
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,,,True
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,5.5,4.323356151580811,,,False
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,8.100000381469728,2.655974626541138,,,False
93,0.58200002,LAO,SouthEastAsia,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,,,False
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,7.0999999046325675,2.85273027420044,,,False
178,0.68800002,TKM,EastEurope,13217.39,,5.099999904632568,,,,True
69,0.63700002,GTM,LatAm,4438.0,,6.699999809265138,2.693367958068848,,,False
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,,,False
52,0.67799997,SLV,LatAm,332.26999,,6.9000000953674325,3.804579257965088,,,False
149,0.565,STP,SubSaharian,2150.55,,7.9000000953674325,,,,True
42,0.77499998,CRI,LatAm,9485.71,,3.5,4.666448593139648,,,False
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,4.5,5.258416175842285,,,False
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,,,False
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,1.5,4.5645713806152335,,,False
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,,,False
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,,,False
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,,,False
41,0.42500001,COD,SubSaharian,324.16,,7.0999999046325675,2.9574468135833736,,,False
113,0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,,,False
1,0.76200002,ALB,EastEurope,8516.7002,,7.0999999046325675,4.111338615417481,,,False
51,0.73900002,ECU,LatAm,7259.52,15.774999618530268,6.199999809265138,3.6465516090393066,,,False
48,0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,,,False
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,,False
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,3.5,4.319009780883788,,,False
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469728,,,,True
94,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,,,False
26,0.40599999,BDI,SubSaharian,663.5700099999999,,6.800000190734862,2.595248937606812,,,False
145,0.76200002,KNA,Caribbean,11237.75,,,,,,True
176,0.72299999,TUN,NorthAfrica,6912.2798,,5.5,3.721023797988892,,,False
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,,,False
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734862,,,,True
36,0.73400003,CHN,EastAsia,9283.3799,,4.599999904632568,4.028250217437743,,,False
179,,TUV,Pacific,3174.05,0.0109999999403954,,,,,True
184,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,,,False
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,,True
50,0.71799999,DOM,LatAm,10376.63,,7.5999999046325675,2.636394500732422,,,False
