,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wde_expedu,wdi_nerds,Nulos
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,,True
37,,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,,False
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,2.0,3.736852645874023,,,False
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,,,True
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.300000190734863,3.0581588745117188,,,False
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,,True
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,,,False
123,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,,,False
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,,,False
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,3.0,2.983357429504395,,,False
136,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,6.199999809265138,4.54694414138794,,,False
89,,PRK,EastAsia,1727.8199,,4.199999809265137,,,,True
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,8.0,4.20008134841919,,,False
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,,,False
147,0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,,,,True
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,7.0999999046325675,,,,True
175,0.83600003,ARE,NorthAfrica,20310.109,,2.5,5.27984094619751,,,False
188,0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061647,,,False
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,3.5999999046325684,4.585320949554443,,,False
45,0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,4.5,5.188638210296631,,,False
132,0.78500003,PAN,LatAm,15137.04,3.788000106811523,4.0,3.523098230361939,,,False
88,0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,7.5,4.50993537902832,,,False
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734862,2.6716678142547607,,,False
28,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,7.5,3.17626953125,,,False
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,,,False
